LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time,LeftAccel,RightAccel
2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,0.000424191594632362,0,0,0.173913043478261,0.173913043478261
2.66627432545826E-06,9.84722563960002E-05,1.08695652173913E-05,0.00260869565217391,2.66627432545826E-06,9.84722563959995E-05,0.000395981371170251,0,0.005,-0.154218592199061,-0.154218592199061
3.77408501532942E-06,0.000221562137974233,3.04347826086957E-05,0.00521739130434783,3.77408501532942E-06,0.000221562137974233,0.000332508494153672,0,0.01,0.0246179763156465,0.0246179763156467
5.74351873856685E-06,0.000393886744647485,6.52173913043478E-05,0.00869565217391304,5.74351873856685E-06,0.000393886744647486,0.000219668253777172,0,0.015,0.0344649213346506,0.0344649213346505
8.82073970350597E-06,0.000615444192987824,0.000119565217391304,0.0130434782608696,8.82073970350597E-06,0.000615444192987824,4.33564798498765E-05,0,0.02,0.0443114896680678,0.0443114896680676
6.92858358276183E-05,0.0120930192248225,0.000197826086956522,0.0182608695652174,7.81481531756067E-05,0.0138654826944201,-0.000210530210509319,0,0.025,2.29551500636693,2.65000770028646
0.000169776348638449,0.0200981025621662,0.000304347826086957,0.0243478260869565,0.000190701113260627,0.0225105920170041,-0.000556093870230256,0,0.03,1.60101666746874,1.72902186451678
0.000301029396648659,0.026250609602042,0.000443478260869565,0.031304347826087,0.000337708936930598,0.0294015647339942,-0.00100743494645883,0,0.035,1.23050140797516,1.37819454339802
0.000467146743856168,0.0332234694415018,0.000619565217391304,0.0391304347826087,0.000523765502877073,0.0372113131892951,-0.00157865148673864,0,0.04,1.39457196789197,1.56194969106019
0.000672230210503922,0.0410166933295508,0.00083695652173913,0.0478260869565217,0.00075346464301659,0.0459398280279033,-0.0022838385872177,0,0.045,1.5586447776098,1.74570296772165
0.000920381682796994,0.0496302944586143,0.0011,0.0573913043478261,0.00103140012613134,0.0555870966229491,-0.00313708764574017,0,0.05,1.72272022581268,1.92945371900916
0.00121570312659585,0.0590642887597722,0.00141304347826087,0.0678260869565217,0.00136216564292524,0.0661531033587812,-0.00415248554145364,0,0.055,1.88679886023159,2.11320134716642
0.00156229659625927,0.0693186939326834,0.0017804347826087,0.0791304347826087,0.00175035478261732,0.0776378279384152,-0.00534411371079102,0,0.06,2.05088103458225,2.29694491592679
0.0019642642633364,0.0803935334154247,0.00220652173913043,0.0913043478260869,0.00220056102872195,0.090041249220926,-0.00672604720483605,0,0.065,2.21496789654825,2.48068425650218
0.00242570842629478,0.092288832591677,0.00269565217391304,0.104347826086957,0.00271737773055077,0.103363340365764,-0.00831235359397908,0,0.07,2.37905983525046,2.66441822896757
0.00295073154332193,0.10500462340543,0.00325217391304348,0.118260869565217,0.00330539809750327,0.117604073390501,-0.0101170918648847,0,0.075,2.54315816275064,2.84814660494746
0.00354343622412577,0.118540936160769,0.0038804347826087,0.13304347826087,0.00396921514439143,0.132763409377631,-0.0121543110889064,0,0.08,2.70726255106766,3.03186719742592
0.00420792530505087,0.132897816185019,0.00458478260869565,0.148695652173913,0.00471342172701074,0.148841316523863,-0.0144380492892537,0,0.085,2.8713760048501,3.21558142924654
0.004948301805855,0.148075300160827,0.0053695652173913,0.165217391304348,0.00554261044211225,0.1658377430203,-0.0169823318136793,0,0.09,3.03549679516151,3.39928529928736
0.00576866900443958,0.164073439716916,0.00623913043478261,0.182608695652174,0.00646137365640323,0.183752642858198,-0.0198011700244081,0,0.095,3.19962791121788,3.58297996757945
0.00667313047809642,0.180892294731368,0.00719782608695652,0.200869565217391,0.00747430349496689,0.20258596771273,-0.0229085597847103,0,0.1,3.36377100289046,3.76666497090655
0.00766579005959158,0.198531916299031,0.00825,0.22,0.00858599173121001,0.222337647248624,-0.0263184795643099,0,0.105,3.52792431353257,3.95033590717876
0.00875075195394648,0.21699237887098,0.0094,0.24,0.00980102985368434,0.243007624494868,-0.0300448890080673,0,0.11,3.6920925143897,4.13399544924877
0.00993212068439535,0.236273746089774,0.0106521739130435,0.260869565217391,0.0111240089384763,0.264595816958393,-0.0341017268285242,0,0.115,3.85627344375888,4.31763849270496
0.0112140012191068,0.256376106942287,0.0120108695652174,0.282608695652174,0.0125595197209189,0.287102156488519,-0.0385029092298765,0,0.12,4.02047217050258,4.50126790602515
0.0126004989155342,0.277299539285482,0.0134804347826087,0.305217391304348,0.0141121524599183,0.310526547799885,-0.043262327615551,0,0.125,4.18468646863909,4.68487826227323
