LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time,LeftAccel,RightAccel
2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,-0.00042419159460394,0,0,0.173913043478261,0.173913043478261
2.66627432545827E-06,9.84722563960008E-05,1.08695652173913E-05,0.00260869565217391,2.66627432545827E-06,9.84722563960008E-05,-0.000395981371141829,0,0.005,-0.154218592199061,-0.154218592199061
3.77408501510738E-06,0.000221562137929822,3.04347826086957E-05,0.00521739130434783,3.77408501510738E-06,0.000221562137929822,-0.00033250849412525,0,0.01,0.0246179763067642,0.0246179763067642
5.7435187383448E-06,0.000393886744647485,6.52173913043478E-05,0.00869565217391304,5.7435187383448E-06,0.000393886744647485,-0.00021966825374875,0,0.015,0.0344649213435326,0.0344649213435326
8.82073970328392E-06,0.000615444192987824,0.000119565217391304,0.0130434782608696,8.82073970328392E-06,0.000615444192987824,-4.33564798356656E-05,0,0.02,0.0443114896680678,0.0443114896680678
7.81481531753846E-05,0.0138654826944201,0.000197826086956522,0.0182608695652174,6.92858358273963E-05,0.0120930192248225,0.00021053021053774,0,0.025,2.65000770028646,2.29551500636693
0.000190701113260627,0.0225105920170485,0.000304347826086957,0.0243478260869565,0.000169776348638005,0.0200981025621218,0.000556093870258678,0,0.03,1.72902186452566,1.60101666745986
0.000337708936930598,0.0294015647339942,0.000443478260869565,0.031304347826087,0.000301029396648215,0.026250609602042,0.00100743494650146,0,0.035,1.37819454338914,1.23050140798404
0.000523765502877073,0.0372113131892951,0.000619565217391304,0.0391304347826087,0.000467146743855724,0.0332234694415018,0.00157865148676706,0,0.04,1.56194969106019,1.39457196789197
0.00075346464301659,0.0459398280279033,0.000836956521739131,0.0478260869565217,0.000672230210503478,0.0410166933295509,0.00228383858724612,0,0.045,1.74570296772165,1.5586447776098
0.00103140012613111,0.0555870966229047,0.0011,0.0573913043478261,0.000920381682796772,0.0496302944586587,0.00313708764576859,0,0.05,1.92945371900027,1.72272022582156
