LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time,LeftAccel,RightAccel
2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,179.998952122912,0,0,0.173913043478261,0.173913043478261
5.50772022625405E-06,0.000666761436555157,1.08695652173913E-05,0.00260869565217391,5.50772022625405E-06,0.000666761436555159,179.999143135993,0,0.005,-0.0405607561672293,-0.040560756167229
1.30087677289701E-05,0.00150020950054322,3.04347826086957E-05,0.00521739130434783,1.30087677289701E-05,0.00150020950054322,179.999572914357,0,0.01,0.166689612797612,0.166689612797611
4.16838574876695E-05,0.00573501795173988,6.52173913043478E-05,0.00869565217391304,1.5013558253554E-05,0.000400958104916768,-179.999663037851,0,0.015,0.846961690239332,-0.21985027912529
0.000116867776879428,0.0150367838783517,0.000119565217391304,0.0130434782608696,4.85252990501413E-05,0.00670234815931746,-179.998469217873,0,0.02,1.86035318532236,1.26027801088014
0.000225132461419558,0.021652936908026,0.000197826086956522,0.0182608695652174,9.67822909275525E-05,0.00965139837548223,-179.996750124109,0,0.025,1.32323060593486,0.589810043232954
0.000372492592785865,0.0294720262732613,0.000304347826086957,0.0243478260869565,0.000162465655673021,0.0131366729490937,-179.994410257103,0,0.03,1.56381787304707,0.697054914722284
0.000564962596724199,0.0384940007876668,0.000443478260869565,0.031304347826087,0.00024825652279923,0.0171581734252419,-179.991354124952,0,0.035,1.8043949028811,0.804300095229649
0.000808556894651476,0.0487188595854555,0.000619565217391304,0.0391304347826087,0.000356836182423664,0.0217159319248867,-179.987486240477,0,0.04,2.04497175955774,0.911551699928968
0.00110928964602085,0.0601465502738737,0.00083695652173913,0.0478260869565217,0.000490886017503229,0.0268099670159129,-179.982711126666,0,0.045,2.28553813768363,1.01880701820524
0.00147317494057327,0.0727770589104858,0.0011,0.0573913043478261,0.000653087643277261,0.0324403251548066,-179.976933315154,0,0.05,2.52610172732243,1.12607162777873
0.00190622667723778,0.0866103473329021,0.00141304347826087,0.0678260869565217,0.000846122914044762,0.0386070541535001,-179.970057349895,0,0.055,2.76665768448325,1.2333457997387
0.00241445831522484,0.101646327597411,0.0017804347826087,0.0791304347826087,0.00107267388047862,0.0453101932867717,-179.961987793063,0,0.06,3.00719605290174,1.34062782665433
0.00300388312307001,0.117884961569034,0.00220652173913043,0.0913043478260869,0.00133542297699255,0.0525498193027851,-179.952629223289,0,0.065,3.24772679432455,1.44792520320267
0.00368051393125535,0.135326161637069,0.00269565217391304,0.104347826086957,0.00163705299651528,0.0603260039045476,-179.941886242021,0,0.07,3.48824001360707,1.5552369203525
0.00445036321671476,0.153969857091882,0.00325217391304348,0.118260869565217,0.00198024722277165,0.0686388452512739,-179.929663474897,0,0.075,3.72873909096256,1.66256826934526
0.00531944277866369,0.173815912389786,0.0038804347826087,0.13304347826087,0.00236768939083195,0.0774884336120599,-179.915865579901,0,0.08,3.96921105958084,1.76991767215721
0.00629376390837779,0.19486422594282,0.00458478260869565,0.148695652173913,0.00280206387933399,0.0868748977004069,-179.900397248003,0,0.085,4.20966271060681,1.8772928176694
0.00737933726410509,0.217114671145461,0.0053695652173913,0.165217391304348,0.0032860557839778,0.0967983809287628,-179.883163208847,0,0.09,4.45008904052817,1.98469664567118
0.00858217253476627,0.240567054132236,0.00623913043478261,0.182608695652174,0.00382235091086073,0.107259025376585,-179.864068240202,0,0.095,4.69047659735503,2.09212888956443
0.0099082787156494,0.265221236176625,0.00719782608695652,0.200869565217391,0.00441363605827641,0.118257029483137,-179.843017168126,0,0.1,4.93083640887776,2.1996008213104
0.0113636636167784,0.291076980225801,0.00825,0.22,0.00506259897359325,0.129792583063367,-179.819914879823,0,0.105,5.17114880983532,2.30711071604602
0.0129543339727218,0.318134071188685,0.0094,0.24,0.00577192859746807,0.141865924774964,-179.794666327488,0,0.11,5.41141819257674,2.41466834231946
0.0146862951923863,0.346392243932894,0.0106521739130435,0.260869565217391,0.00654431516866448,0.154477314239283,-179.767176538482,0,0.115,5.65163454884178,2.52227789286366
0.0165655511895366,0.375851199430059,0.0120108695652174,0.282608695652174,0.00738245038835653,0.167627043938409,-179.737350624889,0,0.12,5.89179109943294,2.62994593982516
0.0185981043646017,0.406510635013017,0.0134804347826087,0.305217391304348,0.00828902767781478,0.181315457891651,-179.705093791424,0,0.125,6.13188711659158,2.73768279064844
0.0207899549985694,0.438370126793546,0.0150652173913043,0.328695652173913,0.00926674220249223,0.19554290493549,-179.670311353481,0,0.13,6.37189835610589,2.84548940876791
0.0231471014952362,0.471429299333349,0.0167695652173913,0.35304347826087,0.0103182913060372,0.210309820708987,-179.632908742633,0,0.135,6.61183450796052,2.95338315469942
0.0256755398284504,0.50568766664284,0.0185978260869565,0.378260869565217,0.0114463746244393,0.225616663680421,-179.592791525729,0,0.14,6.85167346189834,3.06136859428682
0.0283812634192478,0.541144718159484,0.020554347826087,0.404347826086956,0.0126536944300199,0.241463961116127,-179.549865418275,0,0.145,7.09141030332869,3.16945948714107
0.0312702627206257,0.57779986027559,0.0226434782608696,0.431304347826087,0.0139429558867885,0.257852291353721,-179.504036303642,0,0.15,7.33102842322124,3.27766604751873
0.0343485249602839,0.615652447931632,0.0248695652173913,0.459130434782609,0.0153168674220199,0.274782307046281,-179.455210251077,0,0.155,7.57051753120837,3.38600313851213
0.0376220337031327,0.654701748569772,0.0272369565217391,0.487826086956522,0.0167781410672975,0.292254729055514,-179.403293538013,0,0.16,7.80986012762797,3.49448440184665
