LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time,LeftAccel,RightAccel
2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,-179.999711663246,0,0,0.173913043478261,0.173913043478261
2.67168773606001E-06,9.95549385163499E-05,1.08695652173913E-05,0.00260869565217391,2.67168773606001E-06,9.95549385163499E-05,-179.999740183635,0,0.005,-0.154002055774991,-0.154002055774991
3.79167066557829E-06,0.000223996585903656,3.04347826086957E-05,0.00521739130434783,3.79167066557829E-06,0.000223996585903656,-179.99980435393,0,0.01,0.0248883294774612,0.0248883294774612
5.78271678822435E-06,0.000398209224529211,6.52173913043478E-05,0.00869565217391304,5.78271678822435E-06,0.000398209224529211,-179.99991843247,0,0.015,0.034842527725111,0.034842527725111
3.2149152191227E-05,0.00527328708060053,0.000119565217391304,0.0130434782608696,3.83709918178444E-05,0.00651765500592401,179.999903324955,0,0.02,0.975015571214265,1.22388915627896
0.000105930493118411,0.0147562681854368,0.000197826086956522,0.0182608695652174,0.000121111396678487,0.0165480809721285,179.999646666679,0,0.025,1.89659622096726,2.0060851932409
0.000206355455925168,0.0200849925613513,0.000304347826086957,0.0243478260869565,0.000233729903878619,0.0225237014400264,179.999297347363,0,0.03,1.06574487518288,1.19512409357958
0.000337523406644369,0.0262335901438402,0.000443478260869565,0.031304347826087,0.000380822840154171,0.0294185872551104,179.998841130133,0,0.035,1.22971951649779,1.37897716301681
0.000503533869883334,0.0332020926477931,0.000619565217391304,0.0391304347826087,0.000566986286099096,0.0372326891889851,179.998263789706,0,0.04,1.39370050079057,1.56282038677493
0.000708486655724671,0.0409905571682675,0.000836956521739131,0.0478260869565217,0.000796816098482896,0.0459659624767599,179.997551115392,0,0.045,1.55769290409488,1.74665465755496
0.000956481897397399,0.0495990483345455,0.0011,0.0573913043478261,0.00107490781758925,0.0556183438212702,179.996688914824,0,0.05,1.7216982332556,1.93047626890205
0.00125162009727875,0.0590276399762701,0.00141304347826087,0.0678260869565217,0.00140585656893859,0.0661897502698695,179.995663018094,0,0.055,1.88571832834493,2.11428128971986
0.00159800224630881,0.069276429806012,0.0017804347826087,0.0791304347826087,0.00179425703231458,0.0776800926751964,179.994459282057,0,0.06,2.04975796594837,2.29806848106538
0.00199972987031191,0.0803455248006209,0.00220652173913043,0.091304347826087,0.00224470331398147,0.0900892563333781,179.993063595323,0,0.065,2.21381899892179,2.48183273163634
0.00246090516709168,0.0922350593559529,0.00269565217391304,0.104347826086957,0.00276178890566347,0.1034171183364,179.991461883358,0,0.07,2.37790691106639,2.66557240060444
0.00298563103837343,0.104945174256351,0.00325217391304348,0.118260869565217,0.0033501065107419,0.117663521015686,179.989640114379,0,0.075,2.54202298007965,2.84928053585716
0.0035780112693836,0.118476046202033,0.0038804347826087,0.13304347826087,0.00401424802112763,0.132828302077146,179.987584305158,0,0.08,2.70617438913644,3.03295621229205
0.00424215059140729,0.132827864404738,0.00458478260869565,0.148695652173913,0.00475880434803447,0.148911265381368,179.985280527668,0,0.085,2.87036364054087,3.21659266084428
0.00498215481947795,0.148000845614133,0.0053695652173913,0.165217391304348,0.00558836532210702,0.165912194814511,179.982714915881,0,0.09,3.03459624187897,3.40018588662874
0.00580213099604477,0.163995235313364,0.00623913043478261,0.182608695652174,0.00650751958552183,0.183830852682962,179.979873672982,0,0.095,3.19887793984637,3.58373157369006
0.00670618748365749,0.180811297522544,0.00719782608695652,0.200869565217391,0.00752085441206121,0.202666965307876,179.976743079176,0,0.1,3.36321244183584,3.76722252498282
0.00769843412147263,0.198449327563028,0.00825,0.22,0.00863295558410503,0.222420234408763,179.973309499692,0,0.105,3.52760600809681,3.95065382017746
0.00878298241520459,0.216909658746392,0.0094,0.24,0.00984840729227156,0.243090341633307,179.969559393106,0,0.11,3.69206623667284,4.13402144490883
0.00996394562810883,0.236192642580849,0.0106521739130435,0.260869565217391,0.0111717919096005,0.264676923465781,179.965479320412,0,0.115,3.85659676689141,4.31731636649477
0.011245438973141,0.256298669006427,0.0120108695652174,0.282608695652174,0.0126076898644397,0.287179590967839,179.961055954171,0,0.12,4.02120528511552,4.5005335004116
0.0126315797888632,0.277228163144452,0.0134804347826087,0.305217391304348,0.0141606794806119,0.310597923234454,179.956276088128,0,0.125,4.18589882760506,4.68366645332294
0.0141264877033552,0.2989815828984,0.0150652173913043,0.328695652173913,0.0158353367896457,0.334931461806762,179.951126647288,0,0.13,4.35068395078959,4.86670771446156
0.0157342848090458,0.321559421138124,0.0167695652173913,0.35304347826087,0.0176362353407817,0.3601797102272,179.945594698365,0,0.135,4.51556764794484,5.04964968408764
0.0174590958560261,0.344962209396059,0.0185978260869565,0.378260869565217,0.019567946017333,0.386342135310246,179.939667460584,0,0.14,4.68055765158699,5.23248501660927
0.019305048482773,0.369190525349382,0.020554347826087,0.404347826086957,0.0216350368807112,0.413418172675637,179.933332316757,0,0.145,4.84566319066464,5.41520747307819
0.0212762733396976,0.394244971384906,0.0226434782608696,0.431304347826087,0.0238420728801338,0.441407199884527,179.926576825139,0,0.15,5.01088920710473,5.59780544177808
0.0233769043967369,0.420126211407869,0.0248695652173913,0.459130434782609,0.0261936157543631,0.470308574845855,179.919388731057,0,0.155,5.17624800459268,5.78027499226548
0.0256110790462177,0.446834929896155,0.0272369565217391,0.487826086956522,0.0286942236901727,0.500121587161919,179.911755979637,0,0.16,5.34174369765722,5.96260246321276
