LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time
1.85116623472788E-06,0.000740466493891151,1.85116623472788E-06,0.000740466493891151,1.85116623472788E-06,0.000740466493891151,-0.000425238642620229,0,0
2.27042987876356E-06,8.38527288071364E-05,9.25583117363939E-06,0.00222139948167345,2.27042987876356E-06,8.38527288071364E-05,-0.000401216605311561,0,0.005
3.21377148605717E-06,0.000188668321458722,2.59163272861903E-05,0.00444279896334691,3.21377148605717E-06,0.000188668321458722,-0.000347167112565216,0,0.01
4.89081779212783E-06,0.000335409261214132,5.55349870418364E-05,0.00740466493891151,4.89081779212783E-06,0.000335409261214132,-0.000251079437177282,0,0.015
7.51118870306202E-06,0.000524074182186837,0.000101814142910033,0.0111069974083673,7.51118870306202E-06,0.000524074182186837,-0.000100943243225515,0,0.02
4.68107857852328E-05,0.00785991941643416,0.000168456127360237,0.0155497963717142,3.92641754641393E-05,0.00635059735221547,0.000115251217295054,0,0.025
0.000142653754322724,0.0191685937074982,0.000259163272861903,0.0207330618289522,0.000124835479957752,0.0171142608987225,0.000409512716430527,0,0.03
0.000267836331470074,0.0250365154294701,0.000377637911884487,0.0266567937800814,0.000236602191290537,0.0223533422665569,0.000793848961279764,0,0.035
0.000426270365112732,0.0316868067285316,0.000527582376897445,0.0333209922251018,0.000378057075085638,0.0282909767590202,0.00128026577426965,0,0.04
0.000621867724443157,0.039119471866085,0.000712699000370233,0.0407256571640133,0.000552692987054669,0.0349271823938063,0.00188076700742101,0,0.045
0.000858540155768243,0.0473344862650172,0.000936690114772306,0.048870788596816,0.000764002761892837,0.0422619549676336,0.00260735359438513,0,0.05
0.00114019942961509,0.0563318547693701,0.00120325805257312,0.0577563865235098,0.00101547936422262,0.0502953204659574,0.00347202344059383,0,0.055
0.00147075721053307,0.0661115561835946,0.00151610514624213,0.0673824509440948,0.00131061579390963,0.0590272859374006,0.00448677040569123,0,0.06
0.00185412505004357,0.0766735679021012,0.0018789337282488,0.0777489818585709,0.00165290510330182,0.0684578618784381,0.0056635836078982,0,0.065
0.00229421447076379,0.0880178841440427,0.00229544613106257,0.0888559792669382,0.00204584049783527,0.0785870789066907,0.0070144469517146,0,0.07
0.00279493683109192,0.100144472065626,0.00276934468715291,0.100703443169197,0.0024929152426914,0.0894149489712251,0.00855133792549623,0,0.075
0.00336020339805426,0.113053313392469,0.00330433172898926,0.113291373565346,0.00299762275728203,0.100941502918127,0.0102862269816768,0,0.08
0.00399392529176577,0.126744378742302,0.0039041095890411,0.126619770455387,0.0035634565970825,0.113166767960093,0.0122310764659943,0,0.085
0.00470001345295535,0.141217632237916,0.00457238059977786,0.140688633839319,0.00419391045803789,0.126090772191079,0.0143978395610418,0,0.09
0.00548237865273324,0.156473039955578,0.00531284709366901,0.155497963717142,0.00489247822067342,0.139713552527105,0.0167984593023647,0,0.095
0.00634493150329884,0.17251057011312,0.00612921140318401,0.171047760088856,0.00566265399703324,0.154035155271966,0.0194448675404573,0,0.1
0.00729158234751013,0.189330168842258,0.0070251758607923,0.187338022954461,0.00650793207145385,0.169055614884122,0.0223489834740604,0,0.105
0.00832624131136722,0.206931792771419,0.00800444279896335,0.204368752313958,0.00743180698879871,0.184774983468972,0.0255227126257296,0,0.11
0.0094528182521328,0.225315388153116,0.00907071455016661,0.222139948167345,0.00843777355151972,0.201193312544201,0.0289779454399621,0,0.115
0.010675222736016,0.244480896776642,0.0102276934468715,0.240651610514624,0.00952932684512981,0.218310658722018,0.0327265559140955,0,0.12
0.0119973640526472,0.264428263326246,0.0114790818215476,0.259903739355794,0.010709962298549,0.236127090683837,0.0367804002841439,0,0.125
0.0134231510959652,0.285157408663591,0.0128285820066642,0.279896334690855,0.0119831756271945,0.254642665729108,0.0411513152428853,0,0.13
0.0149564924324044,0.306668267287839,0.0142798963346909,0.300629396519807,0.013352462945364,0.273857463633889,0.0458511166737168,0,0.135
0.0166012962206364,0.328960757646392,0.015836727138097,0.322102924842651,0.0148213207481064,0.293771560548475,0.0508915978707449,0,0.14
0.0183614702238195,0.352034800636626,0.0175027767493521,0.344316919659385,0.01639324597777,0.314385045932737,0.0562845279833226,0,0.145
0.0202409217000392,0.375890295243948,0.0192817475009256,0.367271380970011,0.0180717359838366,0.335698001213306,0.0620416500280072,0,0.15
0.0222435574895134,0.400527157894827,0.0211773417252869,0.390966308774528,0.0198602886605588,0.357710535344449,0.0681746794437998,0,0.155
0.0243732838494521,0.425945271987754,0.0231932617549056,0.415401703072936,0.0217624023613405,0.380422740156333,0.0746953018140459,0,0.16
0.0266340065201146,0.452144534132491,0.025333209922251,0.440577563865235,0.0237815760216962,0.403834732071145,0.081615171236308,0,0.165
0.0290296306517775,0.479124826332583,0.0276008885597927,0.466493891151425,0.0259213091601211,0.427946627684973,0.0889459082052895,0,0.17
0.0315640607705648,0.506886023757455,0.03,0.493150684931507,0.028185101915807,0.452758551137189,0.0966990975533264,0,0.175
0.034241200742145,0.53542799431604,0.0325342465753425,0.520547945205479,0.0305764550866086,0.47827063416032,0.104886286322866,0,0.18
0.0370629982451123,0.564359500593456,0.0352054794520548,0.547945205479452,0.0330971233242715,0.504133647532574,0.113513004325924,0,0.185
0.0400294449299499,0.593289336967526,0.038013698630137,0.575342465753425,0.0357471149772136,0.529998330588431,0.122578773202036,0,0.19
0.0431405320313436,0.622217420278738,0.0409589041095891,0.602739726027397,0.0385264388438151,0.555864773320287,0.132083089788537,0,0.195
