LeftP,LeftV,MiddleP,MiddleV,RightP,RightV,Heading,Waypoint,Time,LeftAccel,RightAccel
2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,2.17391304347826E-06,0.000869565217391304,-0.000752416958661684,0,0,0.173913043478261,0.173913043478261
2.82670539126464E-06,0.000130558469557276,1.08695652173913E-05,0.00260869565217391,2.82670539126464E-06,0.000130558469557276,-0.000715014712241668,0,0.005,-0.147801349566806,-0.147801349566806
4.29548374275377E-06,0.000293755670297826,3.04347826086957E-05,0.00521739130434783,4.29548374275377E-06,0.000293755670297826,-0.000630859911652237,0,0.01,0.03263944014811,0.03263944014811
6.90663010955899E-06,0.000522229273361044,6.52173913043478E-05,0.00869565217391304,6.90663010955899E-06,0.000522229273361044,-0.000481252245151609,0,0.015,0.0456947206126436,0.0456947206126436
1.09865074917986E-05,0.000815975476447918,0.000119565217391304,0.0130434782608696,1.09865074917986E-05,0.000815975476447918,-0.000247492490217383,0,0.02,0.0587492406173749,0.0587492406173749
3.75810059550058E-05,0.00531889969264145,0.000197826086956522,0.0182608695652174,2.58311276820092E-05,0.00296892403804212,8.91167272101256E-05,0,0.025,0.900584843238706,0.430589712318841
0.000152099015222646,0.0229036018535279,0.000304347826086957,0.0243478260869565,0.000124356571100459,0.0197050886836899,0.000547269990576638,0,0.03,3.5169404321773,3.34723292912956
0.000301673284832802,0.0299148539220312,0.000443478260869565,0.031304347826087,0.000253043158722065,0.0257373175243212,0.00114565800146238,0,0.035,1.40225041370065,1.20644576812627
0.000490977766264356,0.0378608962863109,0.000619565217391304,0.0391304347826087,0.000415912590319129,0.0325738863194128,0.00190296639482312,0,0.04,1.58920847285593,1.3673137590183
0.000724686297810554,0.0467417063092397,0.000836956521739131,0.0478260869565217,0.000616986680617806,0.0402148180597354,0.00283787426997151,0,0.045,1.77616200458576,1.52818634806454
0.00100747256523404,0.0565572534846975,0.0011,0.0573913043478261,0.000860287378123179,0.0486601395010745,0.00396905252397062,0,0.05,1.96310943509157,1.68906428826781
0.00134401010822039,0.0673075085972698,0.00141304347826087,0.0678260869565217,0.00114983682920756,0.0579098902168764,0.00531516220067374,0,0.055,2.15005102251446,1.84995014316038
0.00173897219982511,0.0789924183209443,0.0017804347826087,0.0791304347826087,0.00148965733877455,0.0679641019133988,0.00689485216395269,0,0.06,2.3369819447349,2.01084233930448
0.00219703190740651,0.091611941516279,0.00220652173913043,0.091304347826087,0.00188377149292625,0.0788228308303388,0.00872675732910011,0,0.065,2.52390463906694,2.17174578338801
0.00272286207215401,0.1051660329495,0.00269565217391304,0.104347826086957,0.0023362022174458,0.0904861449039097,0.0108294964010582,0,0.07,2.7108182866442,2.33266281471417
0.00332113508525487,0.119654602620173,0.00325217391304348,0.118260869565217,0.00285097266715544,0.102954089941929,0.013221668631644,0,0.075,2.8977139341345,2.49358900760386
0.00399652306439794,0.135077595828613,0.0038804347826087,0.13304347826087,0.00343210646558442,0.116226759685796,0.015921852010095,0,0.08,3.08459864168809,2.65453394877338
0.00475369759834796,0.151434906790005,0.00458478260869565,0.148695652173913,0.00408362757884655,0.130304222652426,0.018948599558712,0,0.085,3.27146219227845,2.81549259332593
0.00559732985558822,0.168726451448051,0.0053695652173913,0.165217391304348,0.00480956050862708,0.145186585956107,0.0223204369166865,0,0.09,3.45830893160919,2.97647266073627
0.00653209049156818,0.186952127195992,0.00623913043478261,0.182608695652174,0.00561393031773703,0.160873961821989,0.0260558589507838,0,0.095,3.64513514958815,3.1374751731765
0.00756264949228045,0.206111800142454,0.00719782608695652,0.200869565217391,0.00650076260672549,0.177366457797691,0.0301733259442045,0,0.1,3.83193458929247,3.29849919514028
0.0086936762365489,0.22620534885369,0.00825,0.22,0.0074740836845428,0.194664215563463,0.0346912604918543,0,0.105,4.0187097422471,3.45955155315435
0.00992983937690222,0.247232628070665,0.0094,0.24,0.0085379205889511,0.21276738088166,0.0396280435028871,0,0.11,4.20545584339504,3.62063306363945
0.0112758066901358,0.269193462646723,0.0106521739130435,0.260869565217391,0.00969630108668978,0.231676099547737,0.0450020099149384,0,0.115,4.39216691521154,3.78174373321535
0.0127362451778412,0.292087697541074,0.0120108695652174,0.282608695652174,0.0109532538946117,0.251390561584389,0.0508314452389129,0,0.12,4.5788469788703,3.94289240733041
0.0143158208691052,0.315915138252806,0.0134804347826087,0.305217391304348,0.0123128086503624,0.271910951150137,0.0571345807468191,0,0.125,4.76548814234642,4.10407791314975
0.0160191987491262,0.340675576004183,0.0150652173913043,0.328695652173913,0.0137789959972572,0.293237469378958,0.0639295889950944,0,0.13,4.9520875502754,4.26530364576411
0.0178510426829295,0.366368786760674,0.0167695652173913,0.35304347826087,0.0153558476707966,0.315370334707876,0.0712345791608584,0,0.135,5.1386421512981,4.4265730657836
0.0198160154552605,0.392994554466206,0.0185978260869565,0.378260869565217,0.0170473966910302,0.338309804046718,0.0790675926738658,0,0.14,5.32515354110636,4.58789386776838
0.0219187784012545,0.420552589198795,0.020554347826087,0.404347826086957,0.0188576772085012,0.362056103494202,0.0874465970493787,0,0.145,5.51160694651797,4.74925988949682
0.0241639916059556,0.44904264094022,0.0226434782608696,0.431304347826087,0.0207907248457036,0.386609527440491,0.0963894818219586,0,0.15,5.69801034828482,4.91068478925776
0.0265563136648947,0.478464411787813,0.0248695652173913,0.459130434782609,0.0228505766665294,0.411970364165156,0.105914052561715,0,0.155,5.88435416951863,5.07216734493315
